Node_ID,X,Y,Z,Temperature
273,-0.834635,0.000000,0.172309,69.133893
274,-0.777507,-0.331543,0.163194,75.221149
275,-0.671748,-0.459834,0.304941,75.465563
276,-0.671748,-0.304941,0.459834,70.593822
277,-0.718859,0.000000,0.488390,67.138419
278,-0.777507,0.331543,0.163194,65.207144
279,-0.834635,0.172309,0.000000,67.182139
280,-0.777507,0.163194,0.331543,66.458296
281,-0.671748,0.304941,0.459834,64.297721
282,-0.671748,0.459834,0.304941,63.456641
283,-0.718859,0.488390,0.000000,63.714689
284,-0.777507,0.163194,-0.331543,66.458296
285,-0.777507,0.331543,-0.163194,65.207144
286,-0.671748,0.459834,-0.304941,63.456641
287,-0.671748,0.304941,-0.459834,64.297721
288,-0.318952,-0.318952,0.737422,64.966725
289,0.318952,-0.318952,0.737422,57.160735
290,0.318952,0.318952,0.737422,55.002947
291,-0.318952,0.318952,0.737422,61.139135
292,0.318952,-0.318952,-0.737422,57.160735
293,-0.318952,-0.318952,-0.737422,64.966725
294,-0.318952,0.318952,-0.737422,61.139135
295,0.318952,0.318952,-0.737422,55.002947
296,-0.318952,0.737422,0.318952,59.634414
297,0.318952,0.737422,0.318952,53.960137
298,0.318952,0.737422,-0.318952,53.960137
299,-0.318952,0.737422,-0.318952,59.634414
300,-0.318952,-0.737422,-0.318952,71.303633
301,0.318952,-0.737422,-0.318952,59.334978
302,0.318952,-0.737422,0.318952,59.334978
303,-0.318952,-0.737422,0.318952,71.303633
304,0.737422,-0.318952,0.318952,48.214870
305,0.737422,-0.318952,-0.318952,48.214870
306,0.737422,0.318952,-0.318952,46.518993
307,0.737422,0.318952,0.318952,46.518993
308,-0.737422,-0.318952,-0.318952,72.860392
309,-0.737422,-0.318952,0.318952,72.860392
310,-0.737422,0.318952,0.318952,64.870137
311,-0.737422,0.318952,-0.318952,64.870137
312,-0.337484,0.000000,0.791151,62.902992
313,-0.579536,-0.297580,0.579536,68.556359
314,-0.297580,-0.579536,0.579536,67.446769
315,0.000000,-0.337484,0.791151,61.202021
316,0.297580,-0.579536,0.579536,58.726872
317,0.579536,-0.297580,0.579536,52.866041
318,0.337484,0.000000,0.791151,55.694003
319,0.579536,0.297580,0.579536,51.157626
320,0.297580,0.579536,0.579536,54.626099
321,0.000000,0.337484,0.791151,58.266528
322,-0.297580,0.579536,0.579536,59.981787
323,-0.579536,0.297580,0.579536,63.483735
324,0.337484,0.000000,-0.791151,55.694003
325,0.579536,-0.297580,-0.579536,52.866041
326,0.297580,-0.579536,-0.579536,58.726872
327,0.000000,-0.337484,-0.791151,61.202021
328,-0.297580,-0.579536,-0.579536,67.446769
329,-0.579536,-0.297580,-0.579536,68.556359
330,-0.337484,0.000000,-0.791151,62.902992
331,-0.579536,0.297580,-0.579536,63.483735
332,-0.297580,0.579536,-0.579536,59.981787
333,0.000000,0.337484,-0.791151,58.266528
